表,作業名,Unnamed: 2,Unnamed: 3,Unnamed: 4,平物(㎡当たり),平物(㎡当たり).1,役物(ｍ当たり),役物(ｍ当たり).1,役物(ｍ当たり).2,役物(ｍ当たり).3,Unnamed: 11,注
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),,,,小口,二丁掛,小口,標準,小口,二丁掛,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),名称,摘要,単位,平,平,曲がり,曲がり,屏風曲,屏風曲,備考,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),,,,108,227,(108+50),(168+50),108×(60,227×(60,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),,,,×60㎜,×60㎜,×60㎜,×60㎜,+50)㎜,+50)㎜,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),外装タイル,,枚,135,67,15,15,9.5,4.5,※,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),セメント,,kg,5.9,5.7,0.86,1.19,0.56,0.62,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),細骨材,砂,ｍ3,0.008,0.008,0.0013,0.0018,0.0009,0.0009,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),タイル工,,人,0.25,0.24,0.085,0.085,0.097,0.097,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),普通作業員,,人,0.07,0.09,0.018,0.018,0.018,0.018,,
表RA-11-1【設】【専】,内外装壁タイル(密着張り)(1㎡・1ｍ当たり),その他,,式,1,1,1,1,1,1,,
