表,作業名,名称,摘 要,単位,ＢⅠ－１平 面,ＢⅠ－２平 面,備考,注
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),アスファルトプライマー,,㎏,0.2,0.2,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),アスファルト3種,㎏,6.2,5.2,,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),アスファルトルーフィング1500,㎡,2.28,1.14,,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),砂付あなあきルーフィング,砂付あなあきルーフィング,,㎡,1.04,1.04,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),ストレッチルーフィング,1000,㎡,2.28,2.28,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),フラットヤーンクロス,,㎡,1.1,1.1,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),断熱材,厚25㎜,㎡,1.04,1.04,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),燃料,重油,L,1.9,1.6,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),防水工,,人,0.11,0.096,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),普通作業員,,人,0.039,0.034,,
表 RA - 9 - 4 【市】,屋根保護防水絶縁断熱工法 (1ｍ3当たり),その他,,式,1,1,,,
