作業名,Unnamed:1,"単
位",材,材.1,料,料.1,料.2,料.3,"雑
材
料","運
搬
費","保
温
工
［人］"
庫,"呼
び
径","単
位","ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］","原紙
［ｍ２］",アルミガラスクロス,アルミガラスクロス,アルミガラスクロス,"雑
材
料","運
搬
費","保
温
工
［人］"
庫,"呼
び
径","単
位","ロックウール保温筒
［ｍ］","ロックウール保温筒
［ｍ］","原紙
［ｍ２］",100幅,"［ｍ］
125幅",150幅,"雑
材
料","運
搬
費","保
温
工
［人］"
庫,"呼
び
径","単
位",20厚 30厚,40厚,"原紙
［ｍ２］",100幅,"［ｍ］
125幅",150幅,"雑
材
料","運
搬
費","保
温
工
［人］"
庫,15,,1.05 －,－,0.23,3.0,－,－,,,0.078
庫,20,,1.05 －,－,0.25,3.2,－,－,,,0.082
庫,25,,1.05 －,－,0.27,3.6,－,－,,,0.089
庫,32,,－ 1.05,－,0.38,5.0,－,－,,,0.100
庫,,,,,,,,,,１,
庫,40,,－ 1.05,－,0.40,5.3,－,－,,式,0.106
庫,,,,,,,,,,,
庫,50,,－ 1.05,－,0.45,－,4.5,－,１,材,0.117
庫,,,,,,,,,式,料,
庫,,,,,,,,,,費,
庫,65,,－－,1.05,0.58,－,5.8,－,材,＋,0.130
庫,,m,,,,,,,料,雑,
庫,80,,－－,1.05,0.63,－,－,5.0,"費
×","材
料",0.142
庫,,,,,,,,,0.05,費,
庫,100,,－－,1.05,0.73,－,－,5.8,,),0.183
庫,,,,,,,,,,×,
庫,125,,－－,1.05,0.82,－,－,6.6,,0.03,0.214
庫,,,,,,,,,,,
庫,150,,－－,1.05,0.92,－,－,7.3,,,0.243
庫,200,,－－,1.05,1.11,－,－,8.9,,,0.339
庫,250,,－－,1.05,1.30,－,－,10.5,,,0.411
庫,300,,－－,1.05,1.50,－,－,12.0,,,0.498
