作業名,細目,摘要,単位,材料,"雑
材
料","電
工
［人］","普
通
作
業
員
［人］","そ
の
他",備考
変圧器(柱上取付け),細　目,摘　要,単位,"変
圧
器
［台］","雑
材
料","電
工
［人］","普
通
作
業
員
［人］","そ
の
他",備　考
変圧器(柱上取付け),,単相　 5kVA,,1,,0.547,0.547,,
変圧器(柱上取付け),,単相　10kVA,,1,,0.644,0.644,,
変圧器(柱上取付け),,単相　15kVA,,1,,0.644,0.644,,
変圧器(柱上取付け),,単相　20kVA,,1,,1.09,1.09,,
変圧器(柱上取付け),,単相　25kVA,,1,,1.09,1.09,,
変圧器(柱上取付け),,単相　30kVA,,1,,1.15,1.15,,
変圧器(柱上取付け),,単相　50kVA,,1,,1.36,1.36,,
変圧器(柱上取付け),,単相　75kVA,台,1,,2.24,2.24,,
変圧器(柱上取付け),,三相　 5kVA,台,1,１式,0.697,0.697,,
変圧器(柱上取付け),,三相　10kVA,,1,,0.817,0.817,,
変圧器(柱上取付け),,三相　15kVA,,1,材,0.817,0.817,,
変圧器(柱上取付け),,三相　20kVA,,1,"料
価",1.32,1.32,,
変圧器(柱上取付け),,三相　25kVA,,1,格,1.32,1.32,,
変圧器(柱上取付け),変圧器,三相　30kVA,,1,×,1.45,1.45,１式,
変圧器(柱上取付け),(6kV／3kV),三相　50kVA,,1,0.02,1.70,1.70,１式,
変圧器(柱上取付け),,三相　75kVA,,1,,2.53,2.53,,
変圧器(柱上取付け),,単相 10kVA×２,,2,,1.06,1.06,,
変圧器(柱上取付け),,単相 15kVA×２,,2,,1.45,1.45,,
変圧器(柱上取付け),,単相 20kVA×２,,2,,1.79,1.79,,
変圧器(柱上取付け),,単相 30kVA×２,台,2,,1.90,1.90,,
変圧器(柱上取付け),,三相　10kVA×２,台,2,,1.34,1.34,,
変圧器(柱上取付け),,三相 15kVA×２,,2,,1.78,1.78,,
変圧器(柱上取付け),,三相 20kVA×２,,2,,2.19,2.19,,
変圧器(柱上取付け),,三相 30kVA×２,,2,,2.40,2.40,,
変圧器(柱上取付け),,三相 10kVA×３,,3,,1.87,1.87,,
変圧器(柱上取付け),,三相 15kVA×３,台,3,,2.47,2.47,,
変圧器(柱上取付け),,三相 20kVA×３,台,3,,3.05,3.05,,
変圧器(柱上取付け),,三相 30kVA×３,,3,,3.34,3.34,,
