表,作業名,細目,摘要,単位,材料-厚鋼電線管［ｍ］,材料-薄鋼電線管［ｍ］,材料-ねじなし電線管［ｍ］,材料-硬質ビニル電線管［ｍ］,材料-附属品,雑材料,電工［人］,その他,備考,注
表RE-1-1【市】,電線管,厚鋼電線管(G),1622,ｍ,1.1,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.0600.080,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),28,ｍ,1.1,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.103,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),36,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.124,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),42,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.170,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),54,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.229,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),70,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.266,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),8292,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.3230.360,１式,,
表RE-1-1【市】,電線管,厚鋼電線管(G),104,ｍ,1.05,,,,１式電線管価格×0.25,１式(材料価格×0.05,0.402,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),19,ｍ,,1.1,,,１式電線管価格×0.25,１式(材料価格×0.05,0.052,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),25,ｍ,,1.1,,,１式電線管価格×0.25,１式(材料価格×0.05,0.070,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),31,ｍ,,1.1,,,１式電線管価格×0.25,１式(材料価格×0.05,0.089,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),39,ｍ,,1.05,,,１式電線管価格×0.25,１式(材料価格×0.05,0.109,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),51,ｍ,,1.05,,,１式電線管価格×0.25,１式(材料価格×0.05,0.147,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),63,ｍ,,1.05,,,１式電線管価格×0.25,１式(材料価格×0.05,0.198,１式,,
表RE-1-1【市】,電線管,薄鋼電線管(C),75,ｍ,,1.05,,,１式電線管価格×0.25,１式(材料価格×0.05,0.231,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),19,ｍ,,,1.1,,１式電線管価格×0.5,１式(材料価格×0.05,0.042,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),25,ｍ,,,1.1,,１式電線管価格×0.5,１式(材料価格×0.05,0.056,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),31,ｍ,,,1.1,,１式電線管価格×0.5,１式(材料価格×0.05,0.071,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),39,ｍ,,,1.05,,１式電線管価格×0.5,１式(材料価格×0.05,0.087,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),51,ｍ,,,1.05,,１式電線管価格×0.5,１式(材料価格×0.05,0.118,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),63,ｍ,,,1.05,,１式電線管価格×0.5,１式(材料価格×0.05,0.159,１式,,
表RE-1-1【市】,電線管,ねじなし電線管(E),75,ｍ,,,1.05,,１式電線管価格×0.5,１式(材料価格×0.05,0.185,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,16,ｍ,,,,1.1,１式電線管価格×0.3,１式(材料価格×0.05,0.044,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,22,ｍ,,,,1.1,１式電線管価格×0.3,１式(材料価格×0.05,0.054,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,28,ｍ,,,,1.1,１式電線管価格×0.3,１式(材料価格×0.05,0.064,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,36,ｍ,,,,1.05,１式電線管価格×0.3,１式(材料価格×0.05,0.086,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,42,ｍ,,,,1.05,１式電線管価格×0.3,１式(材料価格×0.05,0.108,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,54,ｍ,,,,1.05,１式電線管価格×0.3,１式(材料価格×0.05,0.130,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,70,ｍ,,,,1.05,１式電線管価格×0.3,１式(材料価格×0.05,0.162,１式,,
表RE-1-1【市】,電線管,硬質ビニル電線管(VE)※HIVE含む,82,ｍ,,,,1.05,１式電線管価格×0.3,１式(材料価格×0.05,0.194,１式,,
